url,title_preserved,old_title,new_title,description_preserved,old_description,new_description,old_h1_count,new_h1_count
/,yes,"Cardboard Cups | Custom Printed Cups, Small Cups, Wholesale","Cardboard Cups | Custom Printed Cups, Small Cups, Wholesale",yes,"Order cardboard cups at wholesale prices. Choose custom printed designs, small to large sizes, and reliable packaging for cafes, events etc","Order cardboard cups at wholesale prices. Choose custom printed designs, small to large sizes, and reliable packaging for cafes, events etc",3,1
/about-us/,yes,About Us - Cardboard Cups,About Us - Cardboard Cups,supplied - live had none,,"Cardboard Cups supplies durable, sustainable cardboard cups to cafés, food brands, offices, events and distributors across the USA, UK, Canada, Australia and Europe.",1,1
/contact-us/,yes,Contact Us - Cardboard Cups,Contact Us - Cardboard Cups,supplied - live had none,,"Contact Cardboard Cups for custom quotes, bulk pricing and product advice. Call (503) 358-0443 or email info@cardboardcups.com — we reply within 24 hours.",1,1
/get-free-quote/,yes,Get Free Quote - Cardboard Cups,Get Free Quote - Cardboard Cups,supplied - live had none,,"Request a free quote for custom printed cardboard cups, sleeves and baking cups. Tell us your size, quantity and print requirements and we reply within 24 hours.",0,1
/privacy-policy/,yes,Privacy Policy - Cardboard Cups,Privacy Policy - Cardboard Cups,supplied - live had none,,"How Cardboard Cups collects, uses, protects and shares information when you visit our website or contact us for a quote.",1,1
/product-category/baking-cups/,yes,Baking Cups For Muffins And Cupcakes | Cardboard Cups,Baking Cups For Muffins And Cupcakes | Cardboard Cups,yes,"Baking cups for muffins, cupcakes, mini cakes, and bakery portions with custom design, custom quote, print options, and free delivery in USA.","Baking cups for muffins, cupcakes, mini cakes, and bakery portions with custom design, custom quote, print options, and free delivery in USA.",3,1
/product-category/cup-sleeves/,yes,Cup Sleeves For Hot Drink Cups | Cardboard Cups,Cup Sleeves For Hot Drink Cups | Cardboard Cups,yes,"Cup sleeves for hot drink cups with better grip, heat comfort, custom design, custom quote, print options, and free delivery in USA.","Cup sleeves for hot drink cups with better grip, heat comfort, custom design, custom quote, print options, and free delivery in USA.",3,1
/product-category/cup-types/,yes,Cardboard Cups | All Cup Types | Eco-Friendly | Bulk Orders,Cardboard Cups | All Cup Types | Eco-Friendly | Bulk Orders,yes,"Shop all cardboard cup types for coffee, tea, soup & food. Hot & cold drinks. Custom printing. Wholesale pricing. Ships to USA, UK & Australia.","Shop all cardboard cup types for coffee, tea, soup & food. Hot & cold drinks. Custom printing. Wholesale pricing. Ships to USA, UK & Australia.",3,1
/product/cardboard-baking-cups/,yes,Cardboard Baking Cups For Bakeries | Cardboard Cups,Cardboard Baking Cups For Bakeries | Cardboard Cups,yes,"Cardboard baking cups for cupcakes, muffins, brownies, and desserts. Get custom design, custom quote, size options, and free delivery in USA.","Cardboard baking cups for cupcakes, muffins, brownies, and desserts. Get custom design, custom quote, size options, and free delivery in USA.",3,1
/product/cardboard-coffee-cups-with-lids/,yes,Cardboard Coffee Cups With Lids | Cardboard Cups,Cardboard Coffee Cups With Lids | Cardboard Cups,yes,"Cardboard coffee cups with lids for hot drinks. Food safe board, secure lid fit, lining options, custom printing cardboard Cups today.","Cardboard coffee cups with lids for hot drinks. Food safe board, secure lid fit, lining options, custom printing cardboard Cups today.",3,1
/product/cardboard-coffee-cups/,yes,Cardboard Coffee Cups For Hot Drinks | Cardboard Cups,Cardboard Coffee Cups For Hot Drinks | Cardboard Cups,yes,"Cardboard coffee cups for hot drinks, cafes, offices, and takeaway service with custom design, custom quote, print options, and free delivery in USA.","Cardboard coffee cups for hot drinks, cafes, offices, and takeaway service with custom design, custom quote, print options, and free delivery in USA.",3,1
/product/cardboard-coffee-sleeves/,yes,Cardboard Coffee Sleeves For Hot Cups | Cardboard Cups,Cardboard Coffee Sleeves For Hot Cups | Cardboard Cups,yes,"Cardboard coffee sleeves for hot cups with better grip, heat comfort, custom design, custom quote, print options, and free delivery in USA.","Cardboard coffee sleeves for hot cups with better grip, heat comfort, custom design, custom quote, print options, and free delivery in USA.",3,1
/product/cardboard-cup-sleeves/,yes,Cardboard Cup Sleeves | Heat Grip Sleeves | Cardboard Cups,Cardboard Cup Sleeves | Heat Grip Sleeves | Cardboard Cups,yes,Hot drink cup sleeves made from sturdy paperboard to support grip and comfort in hand. Print options at Cardboard Cups with free delivery and custom design.,Hot drink cup sleeves made from sturdy paperboard to support grip and comfort in hand. Print options at Cardboard Cups with free delivery and custom design.,3,1
/product/cardboard-cupcake-cups/,yes,Cardboard Cupcake Cups | Baking Cups | Cardboard Cups,Cardboard Cupcake Cups | Baking Cups | Cardboard Cups,yes,"Cardboard cupcake cups made with food contact paperboard for baking and clean presentation, with size options and print support from Cardboard Cups.","Cardboard cupcake cups made with food contact paperboard for baking and clean presentation, with size options and print support from Cardboard Cups.",3,1
/product/cardboard-cups-for-food/,yes,Cardboard Cups For Food | Portion Cups | Cardboard Cups,Cardboard Cups For Food | Portion Cups | Cardboard Cups,yes,"Cardboard Cups For Food designed for safe serving of snacks and meals. Includes free delivery, custom quote, and custom design.","Cardboard Cups For Food designed for safe serving of snacks and meals. Includes free delivery, custom quote, and custom design.",3,1
/product/cardboard-cups-for-hot-drinks/,yes,Cardboard Cups For Hot Drinks | Sizes & Linings | Cardboard Cups,Cardboard Cups For Hot Drinks | Sizes & Linings | Cardboard Cups,yes,"Cardboard cups for hot drinks to go in sizes with food safe board, heat-safe linings and print options for cafés and shops.","Cardboard cups for hot drinks to go in sizes with food safe board, heat-safe linings and print options for cafés and shops.",3,1
/product/cardboard-milkshake-cups/,yes,Cardboard Milkshake Cups | Cold Drink Sizes | Cardboard Cups,Cardboard Milkshake Cups | Cold Drink Sizes | Cardboard Cups,yes,"Cardboard milkshake cups for thick cold drinks with moisture barrier options, stable rims, and lid and straw fit standards for takeaway use.","Cardboard milkshake cups for thick cold drinks with moisture barrier options, stable rims, and lid and straw fit standards for takeaway use.",3,1
/product/cardboard-muffin-cups/,yes,Cardboard Muffin Cups For Bakeries | Cardboard Cups,Cardboard Muffin Cups For Bakeries | Cardboard Cups,yes,"Cardboard Muffin Cups for safe baking and neat display. Get custom design, custom quote, food safe material, and free delivery in USA.","Cardboard Muffin Cups for safe baking and neat display. Get custom design, custom quote, food safe material, and free delivery in USA.",3,1
/product/cardboard-mugs/,yes,Cardboard Mugs For Hot Drinks | Cardboard Cups,Cardboard Mugs For Hot Drinks | Cardboard Cups,yes,"Cardboard mugs for coffee, tea, events, and takeaway service. Get custom design, custom quote, print options, and free delivery in USA.","Cardboard mugs for coffee, tea, events, and takeaway service. Get custom design, custom quote, print options, and free delivery in USA.",3,1
/product/cardboard-soup-cups/,yes,Cardboard Soup Cups | Hot Liquid Food Cups | Cardboard Cups,Cardboard Soup Cups | Hot Liquid Food Cups | Cardboard Cups,yes,"Cardboard Soup Cups for takeaway and dine in use, built to handle heat and liquids. Get free delivery, custom quote, and custom design options.","Cardboard Soup Cups for takeaway and dine in use, built to handle heat and liquids. Get free delivery, custom quote, and custom design options.",3,1
/product/cardboard-tea-cups/,yes,Cardboard Tea Cups For Hot Drinks | Cardboard Cups,Cardboard Tea Cups For Hot Drinks | Cardboard Cups,yes,"Cardboard tea cups for black tea, herbal tea, milk tea, cafes, events, and takeaway service with custom design, custom quote, and free delivery in USA.","Cardboard tea cups for black tea, herbal tea, milk tea, cafes, events, and takeaway service with custom design, custom quote, and free delivery in USA.",3,1
/product/christmas-cardboard-cups/,yes,Christmas Cardboard Cups For Hot Drinks | Cardboard Cups,Christmas Cardboard Cups For Hot Drinks | Cardboard Cups,yes,"Christmas cardboard cups for hot drinks, cafes, events, and takeaway service with custom design, custom quote, festive print, and free delivery in USA.","Christmas cardboard cups for hot drinks, cafes, events, and takeaway service with custom design, custom quote, festive print, and free delivery in USA.",3,1
/product/corrugated-paper-cups/,yes,Corrugated Paper Cups | Insulated Drink Cups | Cardboard Cups,Corrugated Paper Cups | Insulated Drink Cups | Cardboard Cups,yes,"Corrugated paper cups with improved grip and reduced heat feel, built with strong rim forming for hot beverage service at Cardboard Cups.","Corrugated paper cups with improved grip and reduced heat feel, built with strong rim forming for hot beverage service at Cardboard Cups.",3,1
/product/disposable-cardboard-cups/,yes,Disposable Cardboard Cups For Drinks | Cardboard Cups,Disposable Cardboard Cups For Drinks | Cardboard Cups,yes,"Disposable cardboard cups for water, juice, coffee, tea, samples, and events with custom design, custom quote, print options, and free delivery in USA.","Disposable cardboard cups for water, juice, coffee, tea, samples, and events with custom design, custom quote, print options, and free delivery in USA.",3,1
/product/small-cardboard-cups/,yes,Small Cardboard Cups For Drinks | Cardboard Cups,Small Cardboard Cups For Drinks | Cardboard Cups,yes,"Small cardboard cups for espresso, samples, water, sauces, and events. Get custom design, custom quote, print options, and free delivery in USA.","Small cardboard cups for espresso, samples, water, sauces, and events. Get custom design, custom quote, print options, and free delivery in USA.",3,1
/product/white-cardboard-cups/,yes,White Cardboard Cups | Clean Print Cup Style | Cardboard Cups,White Cardboard Cups | Clean Print Cup Style | Cardboard Cups,yes,"White cardboard cups made with food contact paperboard and a smooth print surface, supported by inner barrier lining and strong rim forming for hot drinks.","White cardboard cups made with food contact paperboard and a smooth print surface, supported by inner barrier lining and strong rim forming for hot drinks.",3,1
/shop/,n/a - new page,,Shop - Cardboard Cups,supplied - live had none,,"Browse the full Cardboard Cups range — cup types, cup sleeves and baking cups. Custom printing, bulk quantities and free quotes on every product.",0,1
/terms-conditions/,yes,Terms Conditions - Cardboard Cups,Terms Conditions - Cardboard Cups,supplied - live had none,,"The terms and conditions covering website use, quotations, custom orders, shipping, returns and liability when ordering from Cardboard Cups.",1,1
